lon,lat,datetime
-78.59035061,31.39073055,2015-09-20
-78.46518432,31.29874679,2015-09-21
-78.53103786,31.19764108,2015-09-22
-79.49092434,31.42766114,2015-09-23
-78.70252725,32.04568089,2015-09-24
-78.64974617,32.3748048,2015-09-25
-78.23238489,32.29553744,2015-09-26
-78.19001063,32.62574956,2015-09-27
-77.99464604,32.68072665,2015-09-28
-76.74450088,32.91400317,2015-09-29
-76.22045134,32.67168391,2015-09-30
-76.48947033,32.29418113,2015-10-01
-76.54495954,32.05357674,2015-10-02
-76.94113741,31.71037534,2015-10-03
-77.55431244,31.32229953,2015-10-04
-78.26394229,30.95529092,2015-10-05
-78.94948462,30.67629729,2015-10-06
-79.49039708,30.55286773,2015-10-07
-79.80207427,30.61254574,2015-10-08
-79.51622867,30.99299021,2015-10-09
-78.64542945,31.4200326,2015-10-10
-77.15761563,31.70373288,2015-10-11
-76.39527091,31.97361521,2015-10-12
-76.76125501,31.9088749,2015-10-13
-78.2383264,32.11726635,2015-10-14
-78.9683359,32.37766561,2015-10-15
-78.42952963,32.43684701,2015-10-16
-78.46732511,32.1983899,2015-10-17
-78.3862536,32.25233812,2015-10-18
-78.02874625,32.56579533,2015-10-19
-77.91679266,32.69240016,2015-10-20
-78.14291185,32.50847895,2015-10-21
-78.30296303,32.30148595,2015-10-22
-78.05142484,32.56052661,2015-10-23
-77.78207118,32.68722519,2015-10-24
-77.87972831,32.56592358,2015-10-25
-78.36933856,32.43695128,2015-10-26
-78.69979103,32.07859409,2015-10-27
-78.61704601,31.63807209,2015-10-28
-78.37313573,31.37772828,2015-10-29
-78.10233193,31.41197704,2015-10-30
-77.76636623,31.54092148,2015-10-31
-77.11043721,31.94467467,2015-11-01
-76.57094564,32.51445542,2015-11-02
-77.06449197,32.53534487,2015-11-03
-77.42529223,32.59558629,2015-11-04
-77.61617941,32.68463625,2015-11-05
-77.77231894,32.7425343,2015-11-06
-77.8261063,32.90631604,2015-11-07
-77.7891994,32.74696167,2015-11-08
-77.79688035,32.64069978,2015-11-09
-77.46734444,32.39036317,2015-11-10
-76.59820515,32.95097026,2015-11-11
-76.08710967,33.47517485,2015-11-12
-75.4096127,33.78381976,2015-11-13
-74.68697107,33.90428483,2015-11-14
-74.03459905,33.8551619,2015-11-15
-73.56791092,33.65399123,2015-11-16
-73.40232095,33.31760108,2015-11-17
-73.65324342,32.86241591,2015-11-18
-74.43609261,32.30472815,2015-11-19
-75.71885456,31.68386904,2015-11-20
-77.44859492,31.1579736,2015-11-21
-78.5789603,31.13181905,2015-11-22
-78.35010134,31.9042796,2015-11-23
-77.64976947,32.6732118,2015-11-24
-77.47858529,33.00831779,2015-11-25
-78.2543784,33.00783598,2015-11-26
-78.46170169,33.2665585,2015-11-28
-76.88533515,33.50932797,2015-11-29
-75.95420186,33.69668625,2015-11-30
-75.83719586,33.79375876,2015-12-01
-76.08229967,33.66343709,2015-12-02
-76.4125385,33.50267761,2015-12-03
-76.64258706,33.4493597,2015-12-04
-76.79677146,33.52623628,2015-12-05
-77.42949677,33.18390119,2015-12-06
-77.79666462,32.5962295,2015-12-07
-77.74924715,32.38383483,2015-12-08
-77.50287745,32.40255799,2015-12-09
-77.23726392,32.50684928,2015-12-10
-77.12591431,32.55325899,2015-12-11
-77.28122111,32.39034886,2015-12-12
-77.32151601,32.25717967,2015-12-13
-77.22794827,32.23885716,2015-12-14
-77.07310574,32.31841403,2015-12-15
-76.92803864,32.47956524,2015-12-16
-76.86379722,32.70588414,2015-12-17
-76.94609244,32.88759383,2015-12-18
-77.23022607,32.75909671,2015-12-19
-77.45601473,32.54845412,2015-12-20
-77.5263809,32.3845355,2015-12-21
-77.34420656,32.36933221,2015-12-22
-76.81923502,32.59949182,2015-12-23
-75.85871286,33.16993527,2015-12-24
-75.33403544,33.41777239,2015-12-25
-75.28630007,33.27728599,2015-12-26
-75.07471511,33.26579486,2015-12-27
-75.19119072,33.04228492,2015-12-28
-75.49444786,32.64250431,2015-12-29
-75.79767454,32.18634956,2015-12-30
-76.00880223,31.7017452,2015-12-31
-76.17888095,31.20813889,2016-01-01
-76.34058604,30.7198378,2016-01-02
-76.52659286,30.25144377,2016-01-03
-76.76957675,29.81782417,2016-01-04
-77.10221307,29.43406247,2016-01-05
-77.55717717,29.11538971,2016-01-06
-78.10087131,28.83967031,2016-01-07
-78.68887308,28.57421048,2016-01-08
-79.27709452,28.30811784,2016-01-09
-78.32735508,30.55097085,2016-02-03
-78.33163653,30.50375136,2016-02-04
-78.37286593,30.62683366,2016-02-05
-78.42289267,30.86796566,2016-02-06
-78.45780054,31.19303157,2016-02-07
-78.45367331,31.56806768,2016-02-08
-78.38659479,31.95950462,2016-02-09
-78.23264875,32.33429759,2016-02-10
-77.96791899,32.65993984,2016-02-11
-77.5684893,32.90435456,2016-02-12
-77.03028279,33.04943109,2016-02-13
-76.266425,33.02203968,2016-02-14
-75.73167541,32.872176,2016-02-15
-75.79715091,32.66741155,2016-02-16
-76.19407649,32.42458311,2016-02-17
-76.71893376,32.15477616,2016-02-18
-77.16312641,31.8742584,2016-02-19
-77.39879658,31.58333491,2016-02-20
-77.51453624,31.28769562,2016-02-21
-77.55330075,30.99085448,2016-02-22
-77.55804543,30.69637023,2016-02-23
-77.57172564,30.40784537,2016-02-24
-77.6372967,30.12892357,2016-02-25
-77.78005002,29.8604684,2016-02-26
-78.00136098,29.58844743,2016-02-27
-78.33588805,29.30505129,2016-02-28
-78.67713794,28.97112956,2016-02-29
-79.02160588,28.61222595,2016-03-01
-79.36661015,28.24808311,2016-03-02
